,Airports,Periods,variable,value,geometry
0,TOTAL,2019-01-01,EU Countries,3301806,POINT (7.483156574929211 51.06817476731436)
1,TOTAL,2019-02-01,EU Countries,3334887,POINT (7.483156574929211 51.06817476731436)
2,TOTAL,2019-03-01,EU Countries,3933286,POINT (7.483156574929211 51.06817476731436)
3,TOTAL,2019-04-01,EU Countries,4384512,POINT (7.483156574929211 51.06817476731436)
4,TOTAL,2019-05-01,EU Countries,4789936,POINT (7.483156574929211 51.06817476731436)
5,TOTAL,2019-06-01,EU Countries,4794624,POINT (7.483156574929211 51.06817476731436)
6,TOTAL,2019-07-01,EU Countries,4863146,POINT (7.483156574929211 51.06817476731436)
7,TOTAL,2019-08-01,EU Countries,4898661,POINT (7.483156574929211 51.06817476731436)
8,TOTAL,2019-09-01,EU Countries,4783993,POINT (7.483156574929211 51.06817476731436)
9,TOTAL,2019-10-01,EU Countries,4671287,POINT (7.483156574929211 51.06817476731436)
10,TOTAL,2019-11-01,EU Countries,3663084,POINT (7.483156574929211 51.06817476731436)
11,TOTAL,2019-12-01,EU Countries,3633053,POINT (7.483156574929211 51.06817476731436)
12,TOTAL,2020-01-01,EU Countries,3387134,POINT (7.483156574929211 51.06817476731436)
13,TOTAL,2020-02-01,EU Countries,3319861,POINT (7.483156574929211 51.06817476731436)
14,TOTAL,2020-03-01,EU Countries,1646992,POINT (7.483156574929211 51.06817476731436)
15,TOTAL,2020-04-01,EU Countries,63142,POINT (7.483156574929211 51.06817476731436)
16,TOTAL,2020-05-01,EU Countries,122816,POINT (7.483156574929211 51.06817476731436)
17,TOTAL,2020-06-01,EU Countries,321438,POINT (7.483156574929211 51.06817476731436)
18,TOTAL,2020-07-01,EU Countries,1277703,POINT (7.483156574929211 51.06817476731436)
19,TOTAL,2020-08-01,EU Countries,1740322,POINT (7.483156574929211 51.06817476731436)
20,TOTAL,2020-09-01,EU Countries,1137459,POINT (7.483156574929211 51.06817476731436)
21,TOTAL,2020-10-01,EU Countries,881277,POINT (7.483156574929211 51.06817476731436)
22,TOTAL,2020-11-01,EU Countries,562092,POINT (7.483156574929211 51.06817476731436)
23,TOTAL,2020-12-01,EU Countries,749994,POINT (7.483156574929211 51.06817476731436)
24,TOTAL,2021-01-01,EU Countries,430085,POINT (7.483156574929211 51.06817476731436)
25,TOTAL,2021-02-01,EU Countries,266187,POINT (7.483156574929211 51.06817476731436)
26,TOTAL,2021-03-01,EU Countries,333551,POINT (7.483156574929211 51.06817476731436)
27,TOTAL,2021-04-01,EU Countries,408988,POINT (7.483156574929211 51.06817476731436)
28,TOTAL,2021-05-01,EU Countries,664559,POINT (7.483156574929211 51.06817476731436)
29,TOTAL,2021-06-01,EU Countries,1139237,POINT (7.483156574929211 51.06817476731436)
30,TOTAL,2021-07-01,EU Countries,2231922,POINT (7.483156574929211 51.06817476731436)
31,TOTAL,2021-08-01,EU Countries,2901482,POINT (7.483156574929211 51.06817476731436)
32,TOTAL,2021-09-01,EU Countries,2670367,POINT (7.483156574929211 51.06817476731436)
33,TOTAL,2021-10-01,EU Countries,2798991,POINT (7.483156574929211 51.06817476731436)
34,TOTAL,2021-11-01,EU Countries,1947510,POINT (7.483156574929211 51.06817476731436)
35,TOTAL,2021-12-01,EU Countries,1685840,POINT (7.483156574929211 51.06817476731436)
36,TOTAL,2022-01-01,EU Countries,1487892,POINT (7.483156574929211 51.06817476731436)
37,TOTAL,2022-02-01,EU Countries,1670142,POINT (7.483156574929211 51.06817476731436)
38,TOTAL,2022-03-01,EU Countries,2309343,POINT (7.483156574929211 51.06817476731436)
39,TOTAL,2022-04-01,EU Countries,2831221,POINT (7.483156574929211 51.06817476731436)
40,TOTAL,2022-05-01,EU Countries,3435213,POINT (7.483156574929211 51.06817476731436)
41,TOTAL,2022-06-01,EU Countries,3373713,POINT (7.483156574929211 51.06817476731436)
42,TOTAL,2022-07-01,EU Countries,3335514,POINT (7.483156574929211 51.06817476731436)
43,TOTAL,2022-08-01,EU Countries,3429215,POINT (7.483156574929211 51.06817476731436)
44,TOTAL,2022-09-01,EU Countries,3297146,POINT (7.483156574929211 51.06817476731436)
45,TOTAL,2022-10-01,EU Countries,3095139,POINT (7.483156574929211 51.06817476731436)
46,TOTAL,2022-11-01,EU Countries,2240055,POINT (7.483156574929211 51.06817476731436)
47,TOTAL,2022-12-01,EU Countries,2237659,POINT (7.483156574929211 51.06817476731436)
48,TOTAL,2023-01-01,EU Countries,2166588,POINT (7.483156574929211 51.06817476731436)
49,TOTAL,2023-02-01,EU Countries,2169352,POINT (7.483156574929211 51.06817476731436)
50,TOTAL,2023-03-01,EU Countries,2666828,POINT (7.483156574929211 51.06817476731436)
51,TOTAL,2023-04-01,EU Countries,3097485,POINT (7.483156574929211 51.06817476731436)
52,TOTAL,2023-05-01,EU Countries,3507342,POINT (7.483156574929211 51.06817476731436)
53,TOTAL,2023-06-01,EU Countries,3490362,POINT (7.483156574929211 51.06817476731436)
54,TOTAL,2023-07-01,EU Countries,3729439,POINT (7.483156574929211 51.06817476731436)
55,TOTAL,2023-08-01,EU Countries,3756983,POINT (7.483156574929211 51.06817476731436)
336,TOTAL,2019-01-01,Other Europe,538182,POINT (22.93745835245321 -21.36137412154011)
337,TOTAL,2019-02-01,Other Europe,531140,POINT (22.93745835245321 -21.36137412154011)
338,TOTAL,2019-03-01,Other Europe,613975,POINT (22.93745835245321 -21.36137412154011)
339,TOTAL,2019-04-01,Other Europe,709903,POINT (22.93745835245321 -21.36137412154011)
340,TOTAL,2019-05-01,Other Europe,785118,POINT (22.93745835245321 -21.36137412154011)
341,TOTAL,2019-06-01,Other Europe,786509,POINT (22.93745835245321 -21.36137412154011)
342,TOTAL,2019-07-01,Other Europe,851742,POINT (22.93745835245321 -21.36137412154011)
343,TOTAL,2019-08-01,Other Europe,898180,POINT (22.93745835245321 -21.36137412154011)
344,TOTAL,2019-09-01,Other Europe,813739,POINT (22.93745835245321 -21.36137412154011)
345,TOTAL,2019-10-01,Other Europe,810103,POINT (22.93745835245321 -21.36137412154011)
346,TOTAL,2019-11-01,Other Europe,574158,POINT (22.93745835245321 -21.36137412154011)
347,TOTAL,2019-12-01,Other Europe,577848,POINT (22.93745835245321 -21.36137412154011)
348,TOTAL,2020-01-01,Other Europe,546414,POINT (22.93745835245321 -21.36137412154011)
349,TOTAL,2020-02-01,Other Europe,530580,POINT (22.93745835245321 -21.36137412154011)
350,TOTAL,2020-03-01,Other Europe,269120,POINT (22.93745835245321 -21.36137412154011)
351,TOTAL,2020-04-01,Other Europe,12280,POINT (22.93745835245321 -21.36137412154011)
352,TOTAL,2020-05-01,Other Europe,21023,POINT (22.93745835245321 -21.36137412154011)
353,TOTAL,2020-06-01,Other Europe,71936,POINT (22.93745835245321 -21.36137412154011)
354,TOTAL,2020-07-01,Other Europe,188353,POINT (22.93745835245321 -21.36137412154011)
355,TOTAL,2020-08-01,Other Europe,256334,POINT (22.93745835245321 -21.36137412154011)
356,TOTAL,2020-09-01,Other Europe,173871,POINT (22.93745835245321 -21.36137412154011)
357,TOTAL,2020-10-01,Other Europe,150257,POINT (22.93745835245321 -21.36137412154011)
358,TOTAL,2020-11-01,Other Europe,129297,POINT (22.93745835245321 -21.36137412154011)
359,TOTAL,2020-12-01,Other Europe,154784,POINT (22.93745835245321 -21.36137412154011)
360,TOTAL,2021-01-01,Other Europe,160590,POINT (22.93745835245321 -21.36137412154011)
361,TOTAL,2021-02-01,Other Europe,72876,POINT (22.93745835245321 -21.36137412154011)
362,TOTAL,2021-03-01,Other Europe,113875,POINT (22.93745835245321 -21.36137412154011)
363,TOTAL,2021-04-01,Other Europe,158363,POINT (22.93745835245321 -21.36137412154011)
364,TOTAL,2021-05-01,Other Europe,202947,POINT (22.93745835245321 -21.36137412154011)
365,TOTAL,2021-06-01,Other Europe,274176,POINT (22.93745835245321 -21.36137412154011)
366,TOTAL,2021-07-01,Other Europe,525801,POINT (22.93745835245321 -21.36137412154011)
367,TOTAL,2021-08-01,Other Europe,692107,POINT (22.93745835245321 -21.36137412154011)
368,TOTAL,2021-09-01,Other Europe,628565,POINT (22.93745835245321 -21.36137412154011)
369,TOTAL,2021-10-01,Other Europe,814192,POINT (22.93745835245321 -21.36137412154011)
370,TOTAL,2021-11-01,Other Europe,722632,POINT (22.93745835245321 -21.36137412154011)
371,TOTAL,2021-12-01,Other Europe,591746,POINT (22.93745835245321 -21.36137412154011)
372,TOTAL,2022-01-01,Other Europe,520336,POINT (22.93745835245321 -21.36137412154011)
